user_id,Analytical thinking,Systemic thinking,Adaptability,Focus
10189,4.0,4.0,4.0,4.0
10018,5.0,5.0,5.0,5.0
10580,4.0,4.0,4.0,4.0
10600,5.0,5.0,5.0,5.0
10112,4.0,4.0,4.0,4.0
10610,4.0,4.0,4.0,4.0
10352,4.0,4.0,4.0,4.0
10131,4.0,4.0,5.0,4.0
10636,5.0,5.0,5.0,5.0
10400,5.0,5.0,5.0,5.0
10616,4.0,4.0,4.0,4.0
10648,4.0,4.0,5.0,4.0
10194,4.0,4.0,5.0,4.0
10622,4.0,4.0,4.0,4.0
10259,4.0,4.0,4.0,4.0
10413,5.0,5.0,5.0,4.0
10547,5.0,5.0,5.0,5.0
10686,5.0,4.0,5.0,5.0
10723,4.0,3.0,4.0,4.0
10583,4.0,4.0,5.0,4.0
10833,5.0,5.0,5.0,6.0
10696,4.0,4.0,5.0,5.0
10839,4.0,4.0,4.0,4.0
10086,4.0,4.0,5.0,4.0
10124,4.0,4.0,4.0,4.0
10520,5.0,5.0,5.0,5.0
10017,4.0,4.0,4.0,4.0
10840,4.0,4.0,4.0,4.0
10089,4.0,4.0,5.0,4.0
10910,4.0,4.0,4.0,5.0
10704,4.0,4.0,5.0,4.0
10570,4.0,4.0,4.0,4.0
10323,4.0,4.0,4.0,4.0
10604,4.0,4.0,5.0,4.0
10931,4.0,3.0,4.0,4.0
10892,4.0,4.0,4.0,4.0
10150,4.0,4.0,5.0,4.0
10191,5.0,4.0,4.0,4.0
10870,4.0,4.0,4.0,5.0
10279,4.0,4.0,4.0,4.0
10609,5.0,4.0,5.0,4.0
10118,4.0,4.0,4.0,4.0
10501,4.0,5.0,5.0,4.0
10374,4.0,4.0,4.0,5.0
10507,4.0,4.0,4.0,4.0
10789,5.0,4.0,5.0,5.0
10382,5.0,4.0,4.0,4.0
10398,5.0,5.0,4.0,5.0
10343,4.0,4.0,4.0,3.0
10864,5.0,4.0,4.0,4.0
10812,4.0,4.0,4.0,4.0
10719,4.0,4.0,4.0,4.0
10420,4.0,5.0,4.0,4.0
10359,4.0,4.0,4.0,4.0
10882,5.0,5.0,5.0,5.0
10538,4.0,4.0,4.0,4.0
10525,4.0,4.0,4.0,4.0
10288,4.0,4.0,4.0,4.0
10193,4.0,4.0,5.0,4.0
10179,4.0,4.0,4.0,4.0
