id,Analytical thinking,Systemic thinking,Adaptability,Focus
10884,4.0,4.0,4.0,4.0
10106,5.0,4.0,5.0,5.0
10438,6.0,5.0,5.0,5.0
10130,5.0,4.0,5.0,5.0
10667,4.0,5.0,5.0,5.0
10908,4.0,4.0,5.0,5.0
10378,4.0,5.0,5.0,4.0
10220,5.0,4.0,5.0,5.0
10612,5.0,4.0,4.0,5.0
10776,4.0,4.0,5.0,5.0
10179,4.0,4.0,4.0,4.0
10397,4.0,4.0,4.0,4.0
10245,4.0,4.0,4.0,4.0
10698,4.0,4.0,4.0,4.0
10926,4.0,4.0,5.0,4.0
10028,3.0,4.0,4.0,4.0
10339,3.0,3.0,4.0,4.0
10593,6.0,5.0,5.0,5.0
10014,4.0,3.0,4.0,4.0
10413,6.0,5.0,5.0,6.0
10463,4.0,4.0,5.0,4.0
10869,4.0,4.0,5.0,4.0
10234,4.0,4.0,4.0,5.0
10373,5.0,4.0,5.0,5.0
10038,4.0,4.0,5.0,4.0
10745,5.0,5.0,4.0,5.0
10861,4.0,4.0,4.0,4.0
10873,4.0,5.0,3.0,3.0
10924,5.0,4.0,4.0,4.0
10114,4.0,4.0,5.0,5.0
10828,4.0,4.0,5.0,5.0
10606,5.0,4.0,4.0,5.0
10608,4.0,4.0,4.0,4.0
10872,4.0,4.0,4.0,3.0
10867,4.0,4.0,5.0,5.0
10935,4.0,5.0,5.0,4.0
10150,5.0,4.0,4.0,5.0
10895,4.0,3.0,4.0,4.0
10860,5.0,4.0,5.0,5.0
10099,4.0,4.0,5.0,5.0
10471,4.0,4.0,5.0,5.0
10518,5.0,5.0,5.0,5.0
10153,4.0,4.0,5.0,5.0
10958,4.0,4.0,4.0,4.0
10448,5.0,5.0,5.0,5.0
10704,4.0,4.0,5.0,4.0
10470,4.0,4.0,5.0,4.0
10560,4.0,4.0,5.0,5.0
10610,4.0,4.0,5.0,5.0
10053,4.0,4.0,4.0,4.0
10727,5.0,5.0,5.0,4.0
10914,5.0,4.0,5.0,5.0
10004,4.0,4.0,5.0,4.0
10115,4.0,4.0,4.0,4.0
10148,3.0,3.0,3.0,3.0
10516,4.0,4.0,5.0,4.0
10019,5.0,4.0,5.0,5.0
10257,5.0,4.0,4.0,4.0
10241,5.0,4.0,5.0,4.0
10121,4.0,4.0,4.0,4.0
10765,4.0,4.0,4.0,4.0
10134,4.0,4.0,4.0,4.0
10726,4.0,4.0,4.0,4.0
10548,4.0,4.0,5.0,4.0
10169,4.0,4.0,4.0,4.0
10510,4.0,4.0,5.0,4.0
10825,5.0,4.0,5.0,4.0
10668,3.0,3.0,4.0,3.0
10523,5.0,4.0,5.0,5.0
10652,5.0,5.0,4.0,4.0
10717,5.0,5.0,4.0,4.0
10509,4.0,4.0,4.0,4.0
10338,4.0,3.0,4.0,4.0
10051,4.0,5.0,5.0,5.0
10784,5.0,5.0,5.0,4.0
10427,5.0,4.0,5.0,5.0
10572,4.0,4.0,4.0,4.0
10419,5.0,4.0,4.0,4.0
10645,4.0,4.0,4.0,5.0
10966,5.0,4.0,5.0,4.0
10324,4.0,5.0,5.0,4.0
10094,5.0,4.0,6.0,4.0
10177,4.0,4.0,4.0,4.0
10274,4.0,4.0,5.0,5.0
10356,4.0,4.0,5.0,4.0
10293,5.0,4.0,5.0,5.0
10753,4.0,4.0,4.0,4.0
10214,4.0,4.0,5.0,4.0
10814,4.0,4.0,4.0,5.0
10262,4.0,4.0,4.0,4.0
10013,4.0,4.0,4.0,4.0
10862,4.0,4.0,4.0,4.0
10511,4.0,4.0,5.0,5.0
10642,4.0,4.0,4.0,5.0
10399,5.0,4.0,4.0,4.0
10631,5.0,4.0,4.0,4.0
10649,5.0,5.0,6.0,5.0
10162,4.0,4.0,4.0,4.0
10685,4.0,4.0,4.0,4.0
10461,4.0,4.0,5.0,4.0
10773,4.0,5.0,5.0,4.0
10105,4.0,4.0,3.0,4.0
10888,4.0,4.0,4.0,5.0
10018,4.0,4.0,4.0,4.0
10444,4.0,4.0,4.0,4.0
10404,1.0,1.0,1.0,1.0
10602,4.0,4.0,4.0,4.0
10056,4.0,4.0,4.0,4.0
10834,4.0,4.0,4.0,4.0
10520,4.0,5.0,4.0,5.0
