id,Analytical thinking,Systemic thinking,Adaptability,Focus
10199,0,0,0,0
10539,0,0,0,0
10174,0,0,0,0
10465,0,0,0,0
10066,0,0,0,0
10425,0,0,0,0
10398,0,0,0,0
10346,0,0,0,0
10281,0,0,0,0
10158,0,0,0,0
10877,0,0,0,0
10067,0,0,0,0
10235,0,0,0,0
10767,0,0,0,0
10483,0,0,0,0
10679,0,0,0,0
10076,0,0,0,0
10800,0,0,0,0
10855,0,0,0,0
10706,0,0,0,0
10088,0,0,0,0
10096,0,0,0,0
10643,0,0,0,0
10305,0,0,0,0
10275,0,0,0,0
10759,0,0,0,0
10355,0,0,0,0
10844,0,0,0,0
10693,0,0,0,0
10882,0,0,0,0
10023,0,0,0,0
10030,0,0,0,0
10677,0,0,0,0
10923,0,0,0,0
10405,0,0,0,0
10531,0,0,0,0
10959,0,0,0,0
10294,0,0,0,0
10829,0,0,0,0
10850,0,0,0,0
10259,0,0,0,0
10874,0,0,0,0
10328,0,0,0,0
10333,0,0,0,0
10634,0,0,0,0
10774,0,0,0,0
10754,0,0,0,0
10120,0,0,0,0
10790,0,0,0,0
10323,0,0,0,0
10728,0,0,0,0
10842,0,0,0,0
10039,0,0,0,0
10789,0,0,0,0
10952,0,0,0,0
10310,0,0,0,0
10314,0,0,0,0
10059,0,0,0,0
10972,0,0,0,0
10494,0,0,0,0
10464,0,0,0,0
10722,0,0,0,0
10673,0,0,0,0
10692,0,0,0,0
10479,0,0,0,0
10680,0,0,0,0
10793,0,0,0,0
10070,0,0,0,0
10136,0,0,0,0
10307,0,0,0,0
10849,0,0,0,0
10714,0,0,0,0
10633,0,0,0,0
10580,0,0,0,0
10481,0,0,0,0
10063,0,0,0,0
10822,0,0,0,0
10359,0,0,0,0
10585,0,0,0,0
10801,0,0,0,0
10299,0,0,0,0
10350,0,0,0,0
10362,0,0,0,0
10237,0,0,0,0
10351,0,0,0,0
10695,0,0,0,0
10672,0,0,0,0
10298,0,0,0,0
10086,0,0,0,0
10913,0,0,0,0
10432,0,0,0,0
10290,0,0,0,0
10107,0,0,0,0
10969,0,0,0,0
10254,0,0,0,0
10215,0,0,0,0
10544,0,0,0,0
10319,0,0,0,0
10525,0,0,0,0
10630,0,0,0,0
10953,0,0,0,0
10749,0,0,0,0
10534,0,0,0,0
10827,0,0,0,0
10798,0,0,0,0
10514,0,0,0,0
10055,0,0,0,0
10497,0,0,0,0
10218,0,0,0,0
10486,0,0,0,0
10072,0,0,0,0
10527,0,0,0,0
10044,0,0,0,0
10261,0,0,0,0
10209,0,0,0,0
10678,0,0,0,0
10493,0,0,0,0
10442,0,0,0,0
10277,0,0,0,0
10423,0,0,0,0
10231,0,0,0,0
10718,0,0,0,0
10947,0,0,0,0
10757,0,0,0,0
10660,0,0,0,0
10655,0,0,0,0
10309,0,0,0,0
10453,0,0,0,0
10703,0,0,0,0
10636,0,0,0,0
10916,0,0,0,0
10213,0,0,0,0
10482,0,0,0,0
10060,0,0,0,0
10687,0,0,0,0
10713,0,0,0,0
10429,0,0,0,0
10139,0,0,0,0
10781,0,0,0,0
10605,0,0,0,0
10280,0,0,0,0
10311,0,0,0,0
10615,0,0,0,0
10450,0,0,0,0
10110,0,0,0,0
10622,0,0,0,0
10456,0,0,0,0
10316,0,0,0,0
10891,0,0,0,0
10868,0,0,0,0
10198,0,0,0,0
10377,0,0,0,0
10638,0,0,0,0
10617,0,0,0,0
10559,0,0,0,0
10669,0,0,0,0
10137,0,0,0,0
10332,0,0,0,0
10394,0,0,0,0
10184,0,0,0,0
10881,0,0,0,0
10449,0,0,0,0
10788,0,0,0,0
10168,0,0,0,0
10951,0,0,0,0
10382,0,0,0,0
10696,0,0,0,0
10078,0,0,0,0
10029,0,0,0,0
10260,0,0,0,0
10331,0,0,0,0
10859,0,0,0,0
10626,0,0,0,0
10165,0,0,0,0
10731,0,0,0,0
10898,0,0,0,0
10065,0,0,0,0
10141,0,0,0,0
10210,0,0,0,0
10746,0,0,0,0
10292,0,0,0,0
10847,0,0,0,0
10266,0,0,0,0
10371,0,0,0,0
10810,0,0,0,0
10581,0,0,0,0
10900,0,0,0,0
10049,0,0,0,0
10708,0,0,0,0
10904,0,0,0,0
10490,0,0,0,0
10327,0,0,0,0
10879,0,0,0,0
10521,0,0,0,0
10925,0,0,0,0
10968,0,0,0,0
10365,0,0,0,0
10936,0,0,0,0
10033,0,0,0,0
10031,0,0,0,0
10823,0,0,0,0
10192,0,0,0,0
10312,0,0,0,0
10807,0,0,0,0
10552,0,0,0,0
10558,0,0,0,0
10921,0,0,0,0
10109,0,0,0,0
10440,0,0,0,0
10077,0,0,0,0
10783,0,0,0,0
10542,0,0,0,0
10082,0,0,0,0
10361,0,0,0,0
10485,0,0,0,0
10507,0,0,0,0
10628,0,0,0,0
10500,0,0,0,0
10905,0,0,0,0
10002,0,0,0,0
10101,0,0,0,0
10363,0,0,0,0
10451,0,0,0,0
10286,0,0,0,0
10208,0,0,0,0
10265,0,0,0,0
10005,0,0,0,0
10054,0,0,0,0
10715,0,0,0,0
10848,0,0,0,0
10971,0,0,0,0
10436,0,0,0,0
10097,0,0,0,0
10589,0,0,0,0
10204,0,0,0,0
10244,0,0,0,0
10620,0,0,0,0
10934,0,0,0,0
10519,0,0,0,0
10334,0,0,0,0
10845,0,0,0,0
10025,0,0,0,0
10084,0,0,0,0
10010,0,0,0,0
10635,0,0,0,0
10422,0,0,0,0
10795,0,0,0,0
10357,0,0,0,0
10802,0,0,0,0
10529,0,0,0,0
10468,0,0,0,0
10247,0,0,0,0
10118,0,0,0,0
10342,0,0,0,0
10541,0,0,0,0
10250,0,0,0,0
10318,0,0,0,0
10843,0,0,0,0
10196,0,0,0,0
10588,0,0,0,0
10081,0,0,0,0
10352,0,0,0,0
10583,0,0,0,0
10603,0,0,0,0
10239,0,0,0,0
10761,0,0,0,0
10211,0,0,0,0
10930,0,0,0,0
10963,0,0,0,0
10420,0,0,0,0
10227,0,0,0,0
10833,0,0,0,0
10752,0,0,0,0
10907,0,0,0,0
10743,0,0,0,0
10380,0,0,0,0
10478,0,0,0,0
10439,0,0,0,0
10296,0,0,0,0
10344,0,0,0,0
10007,0,0,0,0
10155,0,0,0,0
10526,0,0,0,0
10411,0,0,0,0
10513,0,0,0,0
10837,0,0,0,0
10758,0,0,0,0
10551,0,0,0,0
10433,0,0,0,0
10893,0,0,0,0
10909,0,0,0,0
10889,0,0,0,0
10613,0,0,0,0
