user_id,period,decision_id
10625,1,409
10318,3,203
10775,4,420
10236,2,284
10130,3,72
10273,2,140
10617,3,329
10524,4,318
10940,3,88
10316,3,26
10892,2,197
10071,1,47
10818,4,71
10850,4,255
10885,3,141
10796,2,89
10153,2,197
10754,3,407
10667,3,206
10694,3,91
10673,3,245
10421,1,57
10324,1,49
10047,2,103
10500,1,127
10130,2,131
10940,4,394
10369,1,25
10708,1,151
10530,2,276
10463,3,204
10524,3,336
10946,3,287
10625,3,67
10184,4,99
10305,4,156
10667,1,27
10721,4,391
10062,4,245
10444,1,248
10260,4,386
10419,3,379
10898,2,76
10276,3,150
10486,2,427
10275,1,308
10501,3,284
10283,3,196
10212,3,8
10946,2,278
10676,1,268
10192,4,98
10652,3,145
10289,1,386
10820,1,172
10119,4,99
10789,2,386
10174,2,284
10424,1,127
10192,2,407
10772,1,142
10947,3,50
10804,3,150
10942,3,252
10837,4,245
10014,2,324
10661,3,425
10514,3,275
10192,3,191
10353,3,270
10160,2,126
10192,3,110
10497,2,147
10929,2,298
10232,3,101
10020,3,318
10316,2,48
10155,2,207
10091,3,287
10850,3,175
10621,4,68
10170,4,335
10591,3,332
10017,2,154
10754,2,142
10583,2,427
10570,3,110
10040,2,132
10468,3,94
10003,3,289
10923,2,27
10351,1,10
10109,4,418
10859,3,303
10328,4,407
10818,4,393
10785,3,145
10587,4,110
10920,3,102
10308,2,137
10480,3,424
10621,4,78
10505,4,425
10001,4,126
10114,2,189
10497,3,70
10375,2,182
10456,4,392
10582,1,10
10942,2,214
10315,3,252
10231,3,67
10655,4,60
10892,4,85
10660,2,211
10871,4,90
10836,4,389
10226,1,177
10072,2,88
10328,3,135
10480,3,132
10104,3,63
10375,1,278
10136,1,136
10319,4,405
10850,3,150
10398,4,324
10804,3,143
10192,3,59
10447,4,47
10427,4,392
10007,4,89
10953,3,179
10438,3,418
10270,3,244
10309,3,131
10666,3,66
10842,3,26
10507,2,410
10960,2,388
10106,3,313
10175,3,72
10643,4,411
10785,3,195
10654,2,179
10691,2,185
10270,2,132
10337,1,319
10530,4,323
10201,3,318
10758,3,316
10685,3,91
10657,3,265
10927,1,167
10899,3,295
10935,3,135
10685,2,54
10125,2,332
10001,3,175
10919,4,333
10454,2,106
10789,1,316
10625,2,148
10691,3,386
10217,4,286
10117,3,321
10111,4,180
10150,3,206
10191,2,288
10242,2,63
10218,2,429
10462,1,140
10966,3,392
10295,2,265
10472,3,67
10339,1,69
10661,2,379
10027,4,83
10185,4,327
10875,1,329
10109,3,324
10775,4,92
10699,1,334
10357,4,73
10521,3,329
10308,3,275
10353,3,71
10178,4,276
10056,3,82
10631,2,344
10004,3,85
10953,3,420
10737,2,317
10576,4,14
10357,2,51
10456,3,146
10541,3,176
10144,3,419
10333,4,389
10787,4,277
10655,3,25
10947,4,85
10895,3,122
10413,4,216
10905,3,97
10383,2,379
10101,4,48
10634,3,430
10654,2,69
10304,4,277
10934,1,153
10642,3,393
10399,2,379
10369,3,380
10467,2,27
10104,3,133
10201,3,277
10596,4,319
10557,2,188
10625,1,176
10744,4,425
10469,3,81
10125,3,333
10484,3,75
10379,3,278
10918,2,82
10653,4,179
10304,2,290
10625,2,146
10333,3,130
10022,4,323
10368,4,386
10830,1,278
10261,3,151
10654,1,147
10021,2,329
10886,4,407
10500,3,134
10035,2,414
10249,1,285
10524,4,323
10927,1,117
10281,3,126
10872,3,276
10709,3,82
10684,1,286
10015,4,89
10485,4,389
10206,1,128
10545,2,265
10367,3,248
10556,3,81
10210,1,92
10946,3,331
10271,3,15
10759,4,389
10030,3,15
10768,4,111
10243,3,76
10765,4,81
10450,4,301
10140,1,53
10664,3,144
10661,2,386
10673,3,423
10706,3,414
10595,1,344
10876,1,137
10148,4,312
10201,4,278
10071,3,394
10775,4,427
10250,2,170
10447,2,277
10794,3,72
10806,2,435
10309,3,143
10404,1,63
10438,1,127
10611,1,137
10213,3,324
10486,4,193
10044,4,411
10702,2,392
10470,2,97
10302,2,25
10036,4,383
10142,3,145
10691,1,272
10729,2,135
10701,3,125
10760,3,393
10248,4,255
10500,1,114
10235,3,265
10361,4,330
10954,3,329
10088,1,48
10665,3,327
10246,2,92
10926,4,92
10419,3,340
10647,4,91
10457,3,57
10309,3,122
10661,1,21
10948,1,311
10805,3,419
10273,1,114
10933,3,85
10129,3,385
10432,2,385
10933,3,76
10246,3,72
10812,3,427
10828,2,120
10035,1,271
10342,3,66
10362,1,418
10184,2,101
10283,3,330
10245,2,298
10667,2,94
10655,4,89
10394,2,408
10929,1,311
10333,1,108
10699,2,1
10949,2,181
10635,3,181
10933,3,66
10919,1,136
10090,1,125
10232,3,294
10525,1,125
10785,4,131
10102,4,277
10333,2,72
10871,4,326
10769,4,91
10955,2,284
10275,1,286
10144,1,332
10684,1,129
10720,3,168
10791,3,380
10055,2,191
10148,4,313
10631,2,304
10417,1,132
10524,4,125
10682,3,267
10074,2,190
10116,4,27
10905,2,93
10200,3,181
10387,3,434
10339,2,329
10192,2,61
10751,4,407
10877,3,187
10530,4,52
10105,4,393
10059,1,125
10480,1,95
10438,1,107
10488,3,90
10553,4,426
10438,1,156
10352,2,287
10030,2,13
10869,3,95
10537,4,101
10690,2,128
10069,4,331
10461,4,386
10362,3,255
10360,2,422
10400,3,72
10021,1,422
10550,3,253
10439,3,247
10566,3,278
10628,2,143
10935,3,323
10073,2,323
10901,3,144
10302,2,126
10182,2,419
10055,4,51
10618,4,386
10654,4,155
10242,1,14
10508,1,58
10144,3,71
10303,2,109
10806,2,14
10125,3,321
10020,4,393
10806,3,386
10694,4,78
10229,2,330
10820,3,393
10073,1,137
10667,2,74
10234,3,331
10316,2,109
10476,4,51
10366,2,159
10564,1,135
10441,4,385
10327,2,94
10082,4,63
10472,4,420
10625,4,387
10067,1,386
10270,1,153
10026,4,26
10101,4,165
10530,3,247
10901,4,326
10400,3,102
10310,2,309
10840,2,386
10310,4,212
10234,1,422
10411,2,308
10258,3,121
10525,3,302
10054,3,74
10070,3,337
10164,3,26
10830,3,293
10560,4,323
10192,3,168
10102,3,418
10545,1,148
10650,4,85
10791,4,97
10191,3,277
10546,2,406
10939,4,137
10004,3,100
10940,4,386
10374,4,386
10919,4,386
10302,4,332
10200,1,173
10475,3,99
10911,4,330
10933,3,86
10784,4,14
10569,3,429
10231,1,92
10375,3,387
10482,2,329
10855,1,117
10646,2,104
10004,3,130
10418,1,11
10326,3,115
10405,1,59
10484,3,245
10488,2,391
10291,3,12
10818,4,28
10737,4,330
10641,3,52
10296,3,421
10513,4,326
10550,2,276
10071,4,389
10907,1,66
10811,3,121
10449,1,245
10947,4,27
10735,4,200
10667,4,11
10810,3,84
10452,3,253
10062,3,140
10008,1,289
10505,3,26
10790,4,387
10270,3,290
10096,3,209
10942,4,96
10086,1,49
10867,2,138
10537,4,46
10664,3,145
10153,2,190
10661,2,389
10691,2,285
10327,2,72
10900,1,57
10388,3,426
10472,4,65
10414,4,407
10394,2,411
10004,3,68
10484,2,251
10967,2,93
10773,2,284
10587,2,113
10318,4,298
10406,3,154
10811,1,196
10481,3,104
10690,3,93
10364,1,194
10535,1,306
10326,3,436
10208,2,311
10809,2,320
10832,3,81
10579,3,95
10273,2,135
10794,1,129
10855,4,55
10362,3,388
10327,1,74
10229,1,429
10680,2,74
10930,1,289
10549,3,90
10679,2,115
10182,3,330
10581,4,391
10210,1,151
10198,4,331
10880,1,278
10277,3,325
10017,3,144
10967,3,105
10645,1,286
10072,3,204
10670,4,113
10667,3,304
10667,1,126
10471,3,423
10580,3,92
10942,2,54
10088,3,48
10675,3,425
10146,3,114
10699,2,389
10206,3,432
10635,4,118
10571,2,425
10654,1,108
10153,1,70
10215,4,75
10047,2,60
10536,2,301
10003,2,147
10658,3,329
10673,1,81
10465,3,202
10500,3,412
10062,3,80
10926,1,121
10212,2,124
10481,3,87
10531,2,436
10669,1,55
10655,4,25
10954,2,137
10198,4,114
10157,4,96
10218,2,27
10339,3,324
